n,times
232,0.00004810
233,0.00004813
234,0.00004876
235,0.00004346
236,0.00004474
237,0.00004518
238,0.00004955
239,0.00004922
240,0.00004279
241,0.00004392
242,0.00004561
243,0.00004558
244,0.00004585
245,0.00004768
246,0.00004548
247,0.00004836
248,0.00004854
249,0.00006390
250,0.00004560
251,0.00004781
252,0.00005251
253,0.00005005
254,0.00005260
255,0.00005261
256,0.00005247
257,0.00005281
258,0.00005224
259,0.00017101
260,0.00006041
261,0.00005234
262,0.00005199
263,0.00005500
264,0.00005553
265,0.00005563
266,0.00005274
267,0.00005434
268,0.00005643
269,0.00005240
270,0.00005390
271,0.00005657
272,0.00005650
273,0.00005190
274,0.00005219
275,0.00005429
276,0.00005341
277,0.00006311
278,0.00006238
279,0.00005939
280,0.00005878
281,0.00006457
282,0.00006271
283,0.00006405
284,0.00006325
285,0.00005804
286,0.00006074
287,0.00006190
288,0.00005934
289,0.00006492
290,0.00006448
291,0.00006618
292,0.00006445
293,0.00006453
294,0.00006597
295,0.00006642
296,0.00006745
297,0.00006795
298,0.00006424
299,0.00006245
300,0.00006593
301,0.00006551
302,0.00006601
303,0.00006625
304,0.00006637
305,0.00006767
306,0.00006750
307,0.00007191
308,0.00007478
309,0.00006804
310,0.00008325
311,0.00010490
312,0.00010525
313,0.00011105
314,0.00010788
315,0.00010425
316,0.00010621
317,0.00007436
318,0.00007373
319,0.00007262
320,0.00006849
321,0.00006558
322,0.00006810
323,0.00006808
324,0.00006881
325,0.00006878
326,0.00006980
327,0.00006910
328,0.00006980
329,0.00007061
330,0.00007038
331,0.00007088
332,0.00007106
333,0.00007079
334,0.00006819
335,0.00007121
336,0.00007177
337,0.00006904
338,0.00007004
339,0.00006992
340,0.00007263
341,0.00007087
342,0.00007340
343,0.00007041
344,0.00007377
345,0.00007785
346,0.00010453
347,0.00010684
348,0.00010680
349,0.00010607
350,0.00010710
351,0.00010703
352,0.00010559
353,0.00007254
354,0.00007173
355,0.00007724
356,0.00007485
357,0.00007699
358,0.00009207
359,0.00007563
360,0.00007658
361,0.00007292
362,0.00007631
363,0.00007660
364,0.00007102
365,0.00007161
366,0.00006829
367,0.00007835
368,0.00007925
369,0.00007873
370,0.00008087
371,0.00007762
372,0.00007750
373,0.00008136
374,0.00007743
375,0.00008013
376,0.00008149
377,0.00007430
378,0.00007746
379,0.00007579
380,0.00008064
381,0.00007911
382,0.00008212
383,0.00007791
384,0.00007834
385,0.00008101
386,0.00008245
387,0.00008397
388,0.00007211
389,0.00008153
390,0.00008283
391,0.00008457
392,0.00008218
393,0.00008495
394,0.00008448
395,0.00008506
396,0.00008271
397,0.00008442
398,0.00008367
399,0.00008605
400,0.00008380
401,0.00008618
402,0.00008385
403,0.00008879
404,0.00008234
405,0.00008245
406,0.00008631
407,0.00008487
408,0.00008851
409,0.00008739
410,0.00008705
411,0.00008930
412,0.00009058
413,0.00008836
414,0.00008841
415,0.00008603
416,0.00008716
417,0.00009330
418,0.00008683
419,0.00008881
420,0.00009403
421,0.00009453
422,0.00011987
423,0.00012782
424,0.00012426
425,0.00008893
426,0.00009198
427,0.00009347
428,0.00008907
429,0.00009710
430,0.00009292
431,0.00009399
432,0.00009284
433,0.00009325
434,0.00009154
435,0.00008824
436,0.00008874
437,0.00008888
438,0.00008286
439,0.00009231
440,0.00008899
441,0.00009587
442,0.00009329
443,0.00010183
444,0.00010207
445,0.00009633
446,0.00010006
447,0.00010463
448,0.00009416
449,0.00009893
450,0.00014161
451,0.00013501
452,0.00014791
453,0.00011105
454,0.00009568
455,0.00009015
456,0.00009655
457,0.00009392
458,0.00009293
459,0.00009215
460,0.00015901
461,0.00015544
462,0.00014772
463,0.00015147
464,0.00012816
465,0.00009990
466,0.00009029
467,0.00010260
468,0.00009588
469,0.00009952
470,0.00010088
471,0.00009568
472,0.00010600
473,0.00009307
474,0.00010588
475,0.00011004
476,0.00010871
477,0.00010370
478,0.00010739
479,0.00010780
480,0.00010611
481,0.00010725
482,0.00010493
483,0.00009931
484,0.00010843
485,0.00009665
486,0.00011183
487,0.00011460
488,0.00010307
489,0.00009721
490,0.00010285
491,0.00009816
492,0.00010529
493,0.00010244
494,0.00011080
495,0.00009604
496,0.00010211
497,0.00010644
498,0.00009917
499,0.00010664
500,0.00010414
501,0.00010460
502,0.00010457
503,0.00010511
504,0.00010965
505,0.00009433
506,0.00009916
507,0.00011664
508,0.00015681
509,0.00015365
510,0.00015394
511,0.00010646
512,0.00011317
513,0.00010891
514,0.00010997
515,0.00010765
516,0.00010013
517,0.00011263
518,0.00011355
519,0.00011081
520,0.00018096
521,0.00011473
522,0.00017858
523,0.00017097
524,0.00012998
525,0.00012939
526,0.00013387
527,0.00011393
528,0.00011759
529,0.00011529
530,0.00011489
531,0.00011048
532,0.00011291
533,0.00010925
534,0.00011850
535,0.00011725
536,0.00011695
537,0.00010650
538,0.00011796
539,0.00011792
540,0.00010952
541,0.00011394
542,0.00011200
543,0.00011928
544,0.00011865
545,0.00011452
546,0.00011659
547,0.00010716
548,0.00011691
549,0.00011069
550,0.00011657
551,0.00009213
552,0.00011648
553,0.00011650
554,0.00011043
555,0.00011672
556,0.00011764
557,0.00011978
558,0.00011784
559,0.00011238
560,0.00012275
561,0.00011298
562,0.00012111
563,0.00010706
564,0.00011665
565,0.00011533
566,0.00012052
567,0.00012177
568,0.00012103
569,0.00012186
570,0.00012556
571,0.00012502
572,0.00011811
573,0.00012490
574,0.00012533
575,0.00012210
576,0.00011994
577,0.00012051
578,0.00011928
579,0.00032344
580,0.00013032
581,0.00012240
582,0.00012504
583,0.00012361
584,0.00016244
585,0.00016257
586,0.00015323
587,0.00016175
588,0.00012639
589,0.00013384
590,0.00012778
591,0.00012543
592,0.00012638
593,0.00012332
594,0.00012345
595,0.00012181
596,0.00013053
597,0.00013261
598,0.00013119
599,0.00012873
600,0.00013190
601,0.00014585
602,0.00012664
603,0.00013097
604,0.00016123
605,0.00019435
606,0.00016082
607,0.00021504
608,0.00011443
609,0.00013615
610,0.00013751
611,0.00013629
612,0.00013172
613,0.00013513
614,0.00012728
615,0.00013444
616,0.00012806
617,0.00013282
618,0.00013928
619,0.00014199
620,0.00013860
621,0.00014115
622,0.00013946
623,0.00014148
624,0.00013310
625,0.00014135
626,0.00013681
627,0.00013728
628,0.00013591
629,0.00013597
630,0.00014022
631,0.00013643
632,0.00012969
633,0.00013826
634,0.00014019
635,0.00014390
636,0.00013857
637,0.00014123
638,0.00013801
639,0.00013791
640,0.00013631
641,0.00013767
642,0.00014402
643,0.00013932
644,0.00014632
645,0.00013838
646,0.00014430
647,0.00014266
648,0.00014479
649,0.00014812
650,0.00013370
651,0.00017298
652,0.00020968
653,0.00015507
654,0.00014599
655,0.00014915
656,0.00013747
657,0.00013060
658,0.00014530
659,0.00013809
660,0.00014894
661,0.00015222
662,0.00014835
663,0.00014972
664,0.00014454
665,0.00014875
666,0.00014650
667,0.00014605
668,0.00014971
669,0.00015471
670,0.00014213
671,0.00015098
672,0.00014637
673,0.00014700
674,0.00016239
675,0.00015309
676,0.00021488
677,0.00023292
678,0.00014398
679,0.00015970
680,0.00014900
681,0.00013911
682,0.00014672
683,0.00014719
684,0.00015016
685,0.00014698
686,0.00014512
687,0.00014314
688,0.00013864
689,0.00014795
690,0.00014823
691,0.00015554
692,0.00015516
693,0.00015290
694,0.00015411
695,0.00013793
696,0.00015308
697,0.00015520
698,0.00015558
699,0.00015388
700,0.00015063
701,0.00015683
702,0.00015922
703,0.00015031
704,0.00014721
705,0.00015064
706,0.00015915
707,0.00015419
708,0.00015728
709,0.00015983
710,0.00015679
711,0.00015418
712,0.00015016
713,0.00016071
714,0.00013938
715,0.00016949
716,0.00017908
717,0.00019830
718,0.00018306
719,0.00016333
720,0.00016041
721,0.00021861
722,0.00018451
723,0.00016716
724,0.00014895
725,0.00016877
726,0.00016492
727,0.00015839
728,0.00017066
729,0.00016204
730,0.00016601
731,0.00015886
732,0.00016215
733,0.00015242
734,0.00017188
735,0.00016288
736,0.00016700
737,0.00017388
738,0.00016812
739,0.00016959
740,0.00017898
741,0.00014315
742,0.00016587
743,0.00016045
744,0.00016706
745,0.00016246
746,0.00016316
747,0.00016455
748,0.00016473
749,0.00016645
750,0.00016544
751,0.00016495
752,0.00016668
753,0.00016809
754,0.00016651
755,0.00016263
756,0.00015753
757,0.00017001
758,0.00016326
759,0.00016290
760,0.00016942
761,0.00016720
762,0.00016409
763,0.00015966
764,0.00017054
765,0.00014188
766,0.00017413
767,0.00016506
768,0.00016813
769,0.00016791
770,0.00016436
771,0.00017248
772,0.00016960
773,0.00016773
774,0.00018094
775,0.00016370
776,0.00015472
777,0.00016994
778,0.00017716
779,0.00016331
780,0.00017289
781,0.00017272
782,0.00017654
783,0.00019525
784,0.00017929
785,0.00028664
786,0.00019705
787,0.00016387
788,0.00016539
789,0.00016030
790,0.00016249
791,0.00016664
792,0.00016416
793,0.00014465
794,0.00016778
795,0.00016335
796,0.00017014
797,0.00012952
798,0.00017375
799,0.00016633
800,0.00016619
801,0.00016807
802,0.00017348
803,0.00017203
804,0.00017109
805,0.00017900
806,0.00017081
807,0.00017013
808,0.00017462
809,0.00016913
810,0.00016965
811,0.00017512
812,0.00017855
813,0.00017364
814,0.00019663
815,0.00016029
816,0.00017808
817,0.00017428
818,0.00016888
819,0.00018232
820,0.00017168
821,0.00018807
822,0.00014773
823,0.00019233
824,0.00019224
825,0.00019611
826,0.00025382
827,0.00030175
828,0.00014414
829,0.00018387
830,0.00017434
831,0.00017095
832,0.00016534
833,0.00017555
834,0.00019159
835,0.00016988
836,0.00018545
837,0.00016826
838,0.00017923
839,0.00017507
840,0.00018813
841,0.00026385
842,0.00019069
843,0.00021466
844,0.00020962
845,0.00015746
846,0.00017627
847,0.00018288
848,0.00014986
849,0.00017865
850,0.00017500
851,0.00016917
852,0.00018243
853,0.00017926
854,0.00018378
855,0.00014915
856,0.00018339
857,0.00017663
858,0.00018819
859,0.00017004
860,0.00017341
861,0.00018651
862,0.00018243
863,0.00016739
864,0.00018196
865,0.00018047
866,0.00018094
867,0.00018359
868,0.00018316
869,0.00019916
870,0.00015558
871,0.00018412
872,0.00018545
873,0.00018309
874,0.00018038
875,0.00017284
876,0.00020040
877,0.00016221
878,0.00018615
879,0.00024775
880,0.00020899
881,0.00016586
882,0.00019420
883,0.00016208
884,0.00018313
885,0.00018266
886,0.00017744
887,0.00018407
888,0.00018052
889,0.00019860
890,0.00015988
891,0.00018008
892,0.00018800
893,0.00018869
894,0.00018609
895,0.00018506
896,0.00021280
897,0.00016311
898,0.00017845
899,0.00019035
900,0.00018345
901,0.00017672
902,0.00020263
903,0.00017078
904,0.00016942
905,0.00018336
906,0.00017164
907,0.00018390
908,0.00017622
909,0.00020498
910,0.00016246
911,0.00018473
912,0.00018342
913,0.00017854
914,0.00018517
915,0.00019083
916,0.00020471
917,0.00015177
918,0.00018791
919,0.00016528
920,0.00016897
921,0.00017732
922,0.00016990
923,0.00018925
924,0.00015009
925,0.00018438
926,0.00020976
927,0.00019207
928,0.00019299
929,0.00018834
930,0.00021362
931,0.00018951
932,0.00020682
933,0.00019350
934,0.00022384
935,0.00026302
936,0.00014849
937,0.00018720
938,0.00018692
939,0.00018139
940,0.00016803
941,0.00018295
942,0.00021301
943,0.00015793
944,0.00017608
945,0.00019003
946,0.00018420
947,0.00019147
948,0.00017398
949,0.00018335
950,0.00018500
951,0.00018252
952,0.00018530
953,0.00017785
954,0.00018861
955,0.00018488
956,0.00018670
957,0.00018566
958,0.00019431
959,0.00018616
960,0.00019299
961,0.00019430
962,0.00018735
963,0.00018329
964,0.00017978
965,0.00019146
966,0.00016887
967,0.00016688
968,0.00016795
969,0.00017263
970,0.00017169
971,0.00017804
972,0.00017470
973,0.00017746
974,0.00018273
975,0.00017778
976,0.00020934
977,0.00017934
978,0.00021357
979,0.00020480
980,0.00021029
981,0.00022148
982,0.00021400
983,0.00017133
984,0.00018920
985,0.00019100
986,0.00019561
987,0.00019803
988,0.00019054
989,0.00023591
990,0.00027016
991,0.00025138
992,0.00025031
993,0.00018897
994,0.00019908
995,0.00016933
996,0.00017513
997,0.00017708
998,0.00018171
999,0.00017856
1000,0.00018110
1001,0.00022108
1002,0.00017064
1003,0.00018246
1004,0.00018611
1005,0.00017637
1006,0.00019099
1007,0.00018651
1008,0.00018618
1009,0.00017623
1010,0.00018799
1011,0.00019170
1012,0.00018646
1013,0.00018228
1014,0.00021606
1015,0.00015469
1016,0.00018858
1017,0.00018524
1018,0.00018092
1019,0.00020292
1020,0.00019853
1021,0.00020336
1022,0.00018070
1023,0.00018346
1024,0.00019157
1025,0.00019295
1026,0.00019398
1027,0.00021646
1028,0.00020443
1029,0.00021397
1030,0.00016886
1031,0.00019983
1032,0.00022283
1033,0.00015661
1034,0.00019027
1035,0.00017043
1036,0.00019767
1037,0.00018703
1038,0.00021078
1039,0.00016107
1040,0.00021727
1041,0.00021730
1042,0.00025335
1043,0.00026290
1044,0.00015978
1045,0.00017385
1046,0.00017574
1047,0.00016966
1048,0.00017294
1049,0.00021910
1050,0.00016757
1051,0.00017221
1052,0.00017854
1053,0.00017021
1054,0.00017265
1055,0.00019552
1056,0.00015957
1057,0.00017225
1058,0.00016018
1059,0.00019275
1060,0.00017559
1061,0.00018550
1062,0.00015967
1063,0.00017063
1064,0.00016959
1065,0.00017292
1066,0.00017169
1067,0.00016971
1068,0.00017139
1069,0.00019773
1070,0.00020196
1071,0.00020648
1072,0.00020364
1073,0.00025819
1074,0.00016410
1075,0.00018685
1076,0.00017975
1077,0.00020458
1078,0.00020176
1079,0.00021307
1080,0.00018903
1081,0.00023062
1082,0.00020693
1083,0.00023997
1084,0.00019784
1085,0.00019389
1086,0.00018817
1087,0.00018230
1088,0.00020588
1089,0.00024257
1090,0.00020450
1091,0.00017972
1092,0.00018913
1093,0.00017081
1094,0.00017668
1095,0.00022085
1096,0.00018107
1097,0.00018263
1098,0.00017891
1099,0.00016982
1100,0.00018241
1101,0.00018899
1102,0.00018603
1103,0.00020456
1104,0.00018531
1105,0.00017817
1106,0.00018646
1107,0.00018894
1108,0.00018001
1109,0.00018687
1110,0.00018324
1111,0.00017721
1112,0.00020103
1113,0.00019828
1114,0.00020002
1115,0.00017739
1116,0.00018741
1117,0.00018298
1118,0.00022929
1119,0.00017387
1120,0.00018727
1121,0.00017892
1122,0.00018412
1123,0.00018353
1124,0.00024539
1125,0.00018417
1126,0.00018233
1127,0.00019631
1128,0.00024371
1129,0.00027227
1130,0.00020553
1131,0.00019093
1132,0.00018670
1133,0.00020043
1134,0.00019736
1135,0.00023196
1136,0.00024074
1137,0.00023847
1138,0.00022856
1139,0.00017657
1140,0.00019374
1141,0.00018318
1142,0.00019352
1143,0.00018977
1144,0.00018751
1145,0.00017552
1146,0.00017385
1147,0.00018844
1148,0.00017717
1149,0.00018134
1150,0.00018424
1151,0.00021260
1152,0.00018724
1153,0.00040563
1154,0.00022680
1155,0.00021649
1156,0.00020955
1157,0.00018154
1158,0.00020827
1159,0.00022532
1160,0.00022025
1161,0.00018943
1162,0.00018588
1163,0.00019807
1164,0.00019058
1165,0.00019518
1166,0.00019449
1167,0.00031740
1168,0.00017151
1169,0.00019010
1170,0.00018808
1171,0.00019430
1172,0.00020824
1173,0.00018161
1174,0.00018381
1175,0.00018814
1176,0.00019415
1177,0.00019455
1178,0.00025876
1179,0.00018917
1180,0.00019121
1181,0.00019732
1182,0.00020085
1183,0.00018656
1184,0.00019429
1185,0.00019783
1186,0.00018756
1187,0.00019148
1188,0.00018162
1189,0.00021552
1190,0.00019414
1191,0.00019830
1192,0.00019148
1193,0.00018888
1194,0.00020092
1195,0.00018958
1196,0.00019921
1197,0.00020665
1198,0.00020360
1199,0.00018265
1200,0.00019357
1201,0.00018013
1202,0.00018915
1203,0.00018600
1204,0.00022079
1205,0.00023950
1206,0.00026024
1207,0.00019586
1208,0.00021619
1209,0.00024967
1210,0.00026356
1211,0.00035075
1212,0.00037934
1213,0.00024250
1214,0.00028451
1215,0.00020839
1216,0.00025488
1217,0.00025486
1218,0.00019274
1219,0.00021316
1220,0.00019416
1221,0.00019772
1222,0.00018822
1223,0.00019766
1224,0.00018999
1225,0.00022022
1226,0.00018678
1227,0.00018198
1228,0.00019228
1229,0.00019508
1230,0.00025061
1231,0.00019749
1232,0.00019445
1233,0.00020603
1234,0.00020605
1235,0.00022933
1236,0.00022208
1237,0.00018357
1238,0.00019325
1239,0.00019255
1240,0.00021803
1241,0.00022738
1242,0.00021570
1243,0.00019624
1244,0.00019226
1245,0.00022757
1246,0.00029213
1247,0.00020314
1248,0.00028642
1249,0.00023651
1250,0.00024675
1251,0.00019926
1252,0.00030817
1253,0.00025741
1254,0.00023367
1255,0.00023907
1256,0.00019508
1257,0.00019198
1258,0.00020828
1259,0.00019958
1260,0.00021052
1261,0.00019412
1262,0.00019721
1263,0.00020617
1264,0.00019424
1265,0.00020309
1266,0.00019771
1267,0.00020168
1268,0.00020111
1269,0.00019737
1270,0.00020188
1271,0.00024636
1272,0.00020364
1273,0.00022513
1274,0.00024115
1275,0.00042329
1276,0.00023501
1277,0.00020020
1278,0.00021028
1279,0.00019152
1280,0.00019701
1281,0.00024885
1282,0.00019157
1283,0.00019982
1284,0.00021587
1285,0.00021738
1286,0.00022596
1287,0.00022232
1288,0.00022750
1289,0.00025983
1290,0.00026351
1291,0.00041705
1292,0.00022189
1293,0.00021187
1294,0.00026225
1295,0.00039828
1296,0.00022151
1297,0.00019825
1298,0.00020169
1299,0.00019917
1300,0.00029118
1301,0.00029773
1302,0.00026085
1303,0.00022284
1304,0.00032645
1305,0.00021736
1306,0.00021479
1307,0.00025269
1308,0.00021388
1309,0.00026813
1310,0.00023928
1311,0.00023757
1312,0.00023797
1313,0.00020502
1314,0.00026930
1315,0.00022307
1316,0.00025118
1317,0.00032170
1318,0.00022708
1319,0.00023182
1320,0.00026159
1321,0.00033197
1322,0.00020259
1323,0.00020424
1324,0.00020729
1325,0.00020827
1326,0.00019989
1327,0.00021086
1328,0.00023325
1329,0.00019561
1330,0.00021478
1331,0.00019856
1332,0.00022537
1333,0.00024439
1334,0.00020379
1335,0.00020602
1336,0.00021101
1337,0.00020574
1338,0.00026240
1339,0.00020891
1340,0.00021137
1341,0.00020780
1342,0.00020954
1343,0.00021721
1344,0.00020679
1345,0.00022511
1346,0.00023356
1347,0.00023341
1348,0.00047864
1349,0.00019760
1350,0.00020588
1351,0.00020603
1352,0.00022062
1353,0.00025557
1354,0.00022193
1355,0.00025980
1356,0.00022996
1357,0.00025616
1358,0.00020787
1359,0.00019982
1360,0.00021621
1361,0.00028011
1362,0.00031849
1363,0.00021019
1364,0.00021349
1365,0.00024399
1366,0.00023860
1367,0.00020918
1368,0.00021079
1369,0.00020703
1370,0.00022498
1371,0.00020947
1372,0.00021002
1373,0.00031311
1374,0.00021233
1375,0.00020258
1376,0.00021926
1377,0.00020145
1378,0.00021029
1379,0.00025355
1380,0.00021047
1381,0.00023739
1382,0.00022470
1383,0.00025475
1384,0.00020923
1385,0.00021166
1386,0.00033388
1387,0.00021151
1388,0.00021258
1389,0.00021320
1390,0.00020324
1391,0.00027683
1392,0.00024034
1393,0.00022430
1394,0.00021787
1395,0.00024797
1396,0.00022703
1397,0.00039917
1398,0.00020617
1399,0.00031490
1400,0.00028862
1401,0.00027425
1402,0.00022557
1403,0.00020832
1404,0.00022969
1405,0.00020995
1406,0.00021812
1407,0.00022043
1408,0.00021941
1409,0.00024671
1410,0.00020791
1411,0.00022196
1412,0.00021852
1413,0.00022014
1414,0.00022147
1415,0.00031368
1416,0.00023381
1417,0.00025953
1418,0.00029996
1419,0.00023924
1420,0.00025433
1421,0.00031461
1422,0.00041058
1423,0.00024378
1424,0.00027313
1425,0.00033602
1426,0.00030655
1427,0.00021887
1428,0.00021934
1429,0.00021778
1430,0.00022004
1431,0.00022018
1432,0.00022412
1433,0.00023574
1434,0.00021705
1435,0.00030001
1436,0.00022003
1437,0.00022309
1438,0.00023003
1439,0.00023083
1440,0.00025765
1441,0.00025004
1442,0.00023549
1443,0.00023167
1444,0.00023467
1445,0.00031214
1446,0.00024121
1447,0.00023208
1448,0.00023040
1449,0.00024913
1450,0.00028503
1451,0.00023600
1452,0.00023797
1453,0.00046707
1454,0.00030172
1455,0.00023475
1456,0.00023175
1457,0.00024727
1458,0.00029604
1459,0.00027584
1460,0.00022341
1461,0.00023448
1462,0.00025015
1463,0.00028544
1464,0.00022301
1465,0.00022391
1466,0.00022631
1467,0.00024808
1468,0.00028729
1469,0.00022403
1470,0.00022179
1471,0.00022420
1472,0.00028277
1473,0.00021563
1474,0.00023521
1475,0.00023569
1476,0.00024403
1477,0.00029903
1478,0.00024449
1479,0.00024214
1480,0.00024933
1481,0.00024783
1482,0.00023510
1483,0.00024943
1484,0.00023814
1485,0.00025253
1486,0.00024454
1487,0.00031798
1488,0.00028301
1489,0.00044674
1490,0.00024827
1491,0.00023674
1492,0.00024499
1493,0.00025122
1494,0.00025401
1495,0.00031663
1496,0.00029671
1497,0.00027875
1498,0.00023120
1499,0.00027581
1500,0.00023654
1501,0.00030715
1502,0.00022767
1503,0.00022955
1504,0.00023196
1505,0.00027094
1506,0.00030503
1507,0.00028266
1508,0.00029124
1509,0.00022334
1510,0.00023165
1511,0.00025024
1512,0.00026637
1513,0.00023157
1514,0.00023818
1515,0.00024462
1516,0.00025545
1517,0.00028213
1518,0.00024483
1519,0.00024493
1520,0.00034577
1521,0.00030026
1522,0.00025337
1523,0.00025011
1524,0.00024723
1525,0.00025261
1526,0.00026503
1527,0.00024017
1528,0.00025108
1529,0.00024218
1530,0.00026876
1531,0.00030832
1532,0.00028265
1533,0.00040018
1534,0.00035557
1535,0.00023500
1536,0.00036569
1537,0.00034885
1538,0.00036222
1539,0.00027017
1540,0.00024602
1541,0.00025322
1542,0.00030741
1543,0.00025370
1544,0.00028782
1545,0.00023718
1546,0.00024243
1547,0.00023233
1548,0.00023742
1549,0.00023901
1550,0.00024381
1551,0.00033524
1552,0.00027163
1553,0.00025800
1554,0.00025585
1555,0.00035081
1556,0.00024446
1557,0.00023906
1558,0.00024247
1559,0.00024321
1560,0.00024901
1561,0.00038072
1562,0.00029233
1563,0.00031824
1564,0.00025183
1565,0.00024349
1566,0.00027956
1567,0.00025323
1568,0.00042874
1569,0.00023864
1570,0.00029006
1571,0.00023472
1572,0.00032365
1573,0.00030191
1574,0.00025774
1575,0.00023105
1576,0.00024371
1577,0.00024472
1578,0.00026625
1579,0.00024026
1580,0.00028756
1581,0.00024073
1582,0.00024162
1583,0.00028667
1584,0.00050579
1585,0.00028562
1586,0.00025403
1587,0.00024105
1588,0.00030783
1589,0.00026936
1590,0.00042616
1591,0.00027976
1592,0.00036347
1593,0.00028130
1594,0.00033720
1595,0.00029616
1596,0.00024891
1597,0.00024420
1598,0.00023576
1599,0.00024655
1600,0.00030922
1601,0.00024275
1602,0.00024696
1603,0.00024438
1604,0.00025355
1605,0.00024937
1606,0.00026473
1607,0.00025676
1608,0.00025971
1609,0.00032904
1610,0.00025012
1611,0.00024002
1612,0.00025654
1613,0.00026239
1614,0.00027102
1615,0.00027409
1616,0.00032156
1617,0.00023938
1618,0.00024955
1619,0.00024986
1620,0.00031278
1621,0.00032513
1622,0.00024330
1623,0.00025091
1624,0.00031289
1625,0.00044863
1626,0.00026226
1627,0.00034511
1628,0.00033421
1629,0.00026992
1630,0.00026889
1631,0.00028390
1632,0.00027718
1633,0.00025669
1634,0.00025084
1635,0.00025298
1636,0.00025060
1637,0.00030517
1638,0.00033713
1639,0.00027771
1640,0.00027761
1641,0.00027105
1642,0.00027168
1643,0.00026493
1644,0.00026725
1645,0.00027045
1646,0.00026727
1647,0.00028089
1648,0.00056388
1649,0.00029097
1650,0.00026990
1651,0.00027220
1652,0.00027771
1653,0.00027168
1654,0.00025840
1655,0.00035977
1656,0.00027397
1657,0.00027586
1658,0.00034957
1659,0.00033214
1660,0.00026850
1661,0.00026998
1662,0.00035934
1663,0.00034704
1664,0.00026114
1665,0.00029146
